INDEX,L1_UTM_X,L1_UTM_Y,L1_LON,L1_LAT,R1_UTM_X,R1_UTM_Y,R1_LON,R1_LAT
0,250297.3568,3688260.115,126.3181162,33.30454644,250298.7168,3688258.636,126.3181312,33.30453343
1,250297.4955,3688260.259,126.3181177,33.30454777,250298.8847,3688258.812,126.318133,33.30453506
2,250297.63,3688260.399,126.3181191,33.30454906,250299.0474,3688258.982,126.3181347,33.30453663
3,250297.7573,3688260.531,126.3181204,33.30455028,250299.2014,3688259.143,126.3181363,33.30453811
4,250297.8744,3688260.653,126.3181216,33.30455141,250299.3431,3688259.292,126.3181378,33.30453949
5,250297.9786,3688260.761,126.3181227,33.30455241,250299.4691,3688259.424,126.3181391,33.30454071
6,250298.0669,3688260.854,126.3181236,33.30455326,250299.5757,3688259.537,126.3181402,33.30454175
7,250298.1363,3688260.927,126.3181244,33.30455394,250299.6595,3688259.627,126.3181411,33.30454258
8,250298.184,3688260.979,126.3181249,33.30455442,250299.717,3688259.69,126.3181417,33.30454316
9,250298.3182,3688261.127,126.3181263,33.30455578,250299.8495,3688259.839,126.3181431,33.30454453
10,250298.4506,3688261.277,126.3181276,33.30455716,250299.9825,3688259.989,126.3181444,33.30454591
11,250298.5858,3688261.424,126.3181291,33.30455852,250300.1179,3688260.136,126.3181458,33.30454727
12,250298.7202,3688261.572,126.3181305,33.30455989,250300.2546,3688260.282,126.3181473,33.30454862
13,250298.8614,3688261.714,126.3181319,33.3045612,250300.3945,3688260.425,126.3181487,33.30454994
14,250298.992,3688261.865,126.3181333,33.30456259,250300.5231,3688260.578,126.3181501,33.30455135
15,250299.1193,3688262.019,126.3181346,33.30456401,250300.6504,3688260.732,126.3181514,33.30455276
16,250299.2463,3688262.173,126.3181359,33.30456542,250300.7773,3688260.886,126.3181527,33.30455418
17,250299.3749,3688262.327,126.3181373,33.30456684,250300.9059,3688261.04,126.3181541,33.3045556
18,250299.5044,3688262.479,126.3181386,33.30456824,250301.0365,3688261.191,126.3181554,33.30455699
19,250299.6412,3688262.625,126.31814,33.30456959,250301.1737,3688261.337,126.3181568,33.30455834
20,250299.7749,3688262.773,126.3181414,33.30457095,250301.3067,3688261.486,126.3181582,33.30455971
21,250299.9092,3688262.922,126.3181428,33.30457232,250301.4411,3688261.634,126.3181596,33.30456107
22,250300.0429,3688263.07,126.3181442,33.30457369,250301.574,3688261.784,126.318161,33.30456246
23,250300.1699,3688263.225,126.3181456,33.30457511,250301.701,3688261.938,126.3181623,33.30456387
24,250300.2972,3688263.379,126.3181469,33.30457653,250301.8283,3688262.092,126.3181637,33.30456529
25,250300.4234,3688263.534,126.3181482,33.30457796,250301.9549,3688262.247,126.318165,33.30456672
26,250300.5464,3688263.692,126.3181495,33.30457941,250302.0784,3688262.404,126.3181663,33.30456816
27,250300.6696,3688263.85,126.3181507,33.30458086,250302.2015,3688262.562,126.3181675,33.30456961
28,250300.7941,3688264.006,126.318152,33.3045823,250302.3254,3688262.719,126.3181688,33.30457106
29,250300.9221,3688264.16,126.3181534,33.30458371,250302.4532,3688262.873,126.3181702,33.30457247
30,250301.0499,3688264.314,126.3181547,33.30458513,250302.5809,3688263.027,126.3181715,33.30457389
31,250301.1782,3688264.467,126.318156,33.30458654,250302.7093,3688263.18,126.3181728,33.3045753
32,250301.3104,3688264.617,126.3181574,33.30458792,250302.8418,3688263.33,126.3181742,33.30457668
33,250301.4427,3688264.767,126.3181588,33.3045893,250302.9743,3688263.48,126.3181756,33.30457806
34,250301.5759,3688264.916,126.3181602,33.30459068,250303.1069,3688263.629,126.318177,33.30457944
35,250301.7028,3688265.071,126.3181615,33.3045921,250303.234,3688263.784,126.3181783,33.30458086
36,250301.8368,3688265.219,126.3181629,33.30459347,250303.3698,3688263.931,126.3181797,33.30458222
37,250301.9741,3688265.365,126.3181643,33.30459481,250303.507,3688264.076,126.3181811,33.30458356
38,250302.1095,3688265.512,126.3181657,33.30459617,250303.6407,3688264.225,126.3181825,33.30458493
39,250302.2389,3688265.664,126.3181671,33.30459757,250303.7701,3688264.377,126.3181839,33.30458633
40,250302.3703,3688265.815,126.3181684,33.30459896,250303.9016,3688264.528,126.3181852,33.30458772
41,250302.5013,3688265.966,126.3181698,33.30460035,250304.0331,3688264.679,126.3181866,33.30458911
42,250302.6201,3688266.127,126.318171,33.30460183,250304.1511,3688264.84,126.3181878,33.30459059
