X(E/m),Y(N/m)
250214.805860350548755,3688247.616914125625044
250214.805860350548755,3688247.616914125625044
250214.805860350548755,3688247.616914125625044
250214.805860350548755,3688247.616914125625044
250214.796546896192012,3688247.617153750732541
250214.805860350548755,3688247.616914125625044
250214.805860350548755,3688247.616914125625044
250214.805574980040547,3688247.605822710786015
250214.796546896192012,3688247.617153750732541
250214.796546896192012,3688247.617153750732541
250214.796546896192012,3688247.617153750732541
250214.796546896192012,3688247.617153750732541
250214.787518812314374,3688247.628484790213406
250214.787518812314374,3688247.628484790213406
250214.778490728494944,3688247.639815830159932
250214.787233441806166,3688247.617393376305699
250214.833229972835397,3688247.594012421555817
250214.878655765613075,3688247.548448637593538
250214.924081558681792,3688247.502884853631258
250214.978535434172954,3688247.445990030653775
250215.042588137497660,3688247.399946997407824
250215.087728559650714,3688247.343291800003499
250215.161094718845561,3688247.297009143047035
250215.243203591177007,3688247.228304031770676
250215.316284382075537,3688247.170929959975183
250215.407706713711377,3688247.101985225453973
250215.498843676963588,3688247.021949079353362
250215.589695272152312,3688246.930821519345045
250215.690145693602972,3688246.850545748602599
250215.780711920524482,3688246.748326776083559
250215.871278151724255,3688246.646107804030180
250215.971157840278465,3688246.543649208731949
250216.071322899952065,3688246.452282029669732
250216.170917223847937,3688246.338732023723423
250216.242856551834848,3688246.236992303282022
250216.342450880008982,3688246.123442299664021
250216.433017123170430,3688246.021223333198577
250216.532611455913866,3688245.907673330046237
250216.622892332699848,3688245.794362953864038
250216.703574389539426,3688245.670200786553323
250216.793855273019290,3688245.556890410371125
250216.874537331867032,3688245.432728244923055
250216.964818221982569,3688245.319417870603502
250217.045500285399612,3688245.195255707483739
250217.135781177494209,3688245.081945335492492
250217.225776704348391,3688244.957543550524861
250217.297430687176529,3688244.844712425954640
250217.378112759033684,3688244.720550265628844
250217.449766745528905,3688244.607719143386930
250217.530448823905317,3688244.483556983992457
250217.611130904580932,3688244.359394825994968
250217.691812987293815,3688244.235232668463141
250217.772495069832075,3688244.111070511396974
250217.843863699265057,3688243.987147978972644
250217.924545786023373,3688243.862985823303461
250218.004942510859109,3688243.727732255589217
250218.085909970948705,3688243.614661517553031
250218.175905524898553,3688243.490259742364287
250218.256587622920051,3688243.366097589954734
250218.346297815442085,3688243.230604403186589
250218.417951823066687,3688243.117773289326578
250218.498919293488143,3688243.004702555015683
250218.570573304808931,3688242.891871442552656
250218.651826144719962,3688242.789892123546451
250218.732793620758457,3688242.676821390166879
250218.823074557905784,3688242.563511036336422
250218.894728576531634,3688242.450679927133024
250218.985009520169115,3688242.337369574699551
250219.075575826340355,3688242.235150638036430
250219.156828677456360,3688242.133171323686838
250219.237796165398322,3688242.020100595429540
250219.337675939343171,3688241.917642040643841
250219.464069271431072,3688241.759007556363940
250219.563663685985375,3688241.645457589067519
250219.663258102984400,3688241.531907625030726
250219.772451346827438,3688241.429209454450756
250219.872045768483076,3688241.315659492276609
250219.980953652819153,3688241.201869911514223
250220.090146903821733,3688241.099171745590866
250220.199054793250980,3688240.985382165759802
250220.299219951848499,3688240.894015036989003
250220.453839059191523,3688240.745753120165318
250220.553718859533546,3688240.643294580280781
250220.644570564239984,3688240.552167074289173
250220.754049192473758,3688240.460560329724103
250220.854214361839695,3688240.369193208403885
250220.963692994177109,3688240.277586466632783
250221.072886265930720,3688240.174888311419636
250221.182079539954429,3688240.072190160397440
250221.291843541053822,3688239.991674836724997
250221.382695258886088,3688239.900547338183969
250221.482860439893557,3688239.809180222451687
250221.592339084483683,3688239.717573489062488
250221.701817731081974,3688239.625966756604612
250221.820324479806004,3688239.523028994910419
250221.929803130624350,3688239.431422265712172
250222.039281783625484,3688239.339815536513925
250222.139446976652835,3688239.248448429163545
250222.249210994836176,3688239.167933118529618
250222.349376191530610,3688239.076566011644900
250222.440798647381598,3688239.007621352560818
250222.549991949141258,3688238.904923216905445
250222.641129051975440,3688238.824887145776302
250222.750607718335232,3688238.733280426822603
250222.851629003445851,3688238.675187567248940
250222.942766108579235,3688238.595151499379426
250223.033903215313330,3688238.515115433372557
250223.124754963355372,3688238.423987952526659
250223.206293250143062,3688238.333100089803338
250223.315771927533206,3688238.241493377834558
250223.425250606698683,3688238.149886667262763
250223.516387721669162,3688238.069850606843829
250223.607524835679214,3688237.989814544562250
250223.707975416735280,3688237.909538867883384
250223.789513713476481,3688237.818651011679322
250223.889964297850383,3688237.738375335931778
250223.990414883737685,3688237.658099662978202
250224.071953185368329,3688237.567211810033768
250224.172403774544364,3688237.486936138011515
250224.282167829165701,3688237.406420852523297
250224.373590316594345,3688237.337476213462651
250224.473470193712274,3688237.235017717350274
250224.555579217791092,3688237.166312695480883
250224.674656743009109,3688237.085557799320668
250224.765508520009462,3688236.994430336169899
250224.866244478704175,3688236.925246086902916
250224.976008545199875,3688236.844730808865279
250225.076459149160655,3688236.764455148018897
250225.167596290586516,3688236.684419102966785
250225.286959184013540,3688236.614755627233535
250225.350155935098883,3688236.535438429098576
250225.450891900312854,3688236.466254185885191
250225.551342512015253,3688236.385978531558067
250225.633166196173988,3688236.306182104162872
250225.743215632624924,3688236.236758250743151
250225.806412390084006,3688236.157441055402160
250225.907433721382404,3688236.099348230753094
250225.989257410838036,3688236.019551808945835
250226.071366455813404,3688235.950846801046282
250226.162218256533379,3688235.859719352796674
250226.254211484047119,3688235.812957559246570
250226.41956,3688235.74444
250226.568551,3688235.61891
250226.736938,3688235.516126
250226.893691,3688235.394754
250227.055417,3688235.285046
250227.225157,3688235.181664
250227.38557,3688235.072134
250227.54056,3688234.950819
250227.703884,3688234.842091
250227.866944,3688234.731989
250228.031827,3688234.625819
250228.190095,3688234.507669
250228.351289,3688234.39611
250228.518845,3688234.290408
250228.670248,3688234.166478
250228.830383,3688234.059024
250228.998497,3688233.955948
250229.161271,3688233.847568
250229.321164,3688233.730631
250229.476697,3688233.619607
250229.645548,3688233.513887
250229.805655,3688233.401493
250229.964849,3688233.290142
250230.124817,3688233.178495
250230.282973,3688233.064809
250230.441362,3688232.948039
250230.60687,3688232.850708
250230.782515,3688232.755778
250230.95876,3688232.676306
250231.125144,3688232.580496
250231.298173,3688232.488954
250231.485101,3688232.419691
250231.658793,3688232.325333
250231.831997,3688232.240294
250232.003967,3688232.146508
250232.190939,3688232.082806
250232.374764,3688232.014935
250232.560031,3688231.955097
250232.746374,3688231.895801
250232.938876,3688231.856397
250233.127937,3688231.800725
250233.322941,3688231.765367
250233.513526,3688231.709906
250233.707146,3688231.681175
250233.898541,3688231.629664
250234.085185,3688231.584119
250234.281423,3688231.555413
250234.470905,3688231.497691
250234.657302,3688231.453208
250234.847664,3688231.409415
250235.042382,3688231.372001
250235.228948,3688231.316342
250235.416719,3688231.260641
250235.604574,3688231.194593
250235.793985,3688231.134525
250235.981032,3688231.067264
250236.169973,3688231.004595
250236.355078,3688230.935757
250236.534425,3688230.856742
250236.706638,3688230.768961
250236.887695,3688230.692213
250237.063115,3688230.600153
250237.241599,3688230.514022
250237.414074,3688230.41661
250237.576269,3688230.315876
250237.750481,3688230.22163
250237.910004,3688230.105878
250238.07491,3688229.995257
250238.241841,3688229.902774
250238.385781,3688229.768979
250238.542874,3688229.651147
250238.698505,3688229.540589
250238.84763,3688229.408704
250238.998643,3688229.278254
250239.148673,3688229.146898
250239.287839,3688229.003549
250239.429726,3688228.866291
250239.56368,3688228.722328
250239.708927,3688228.585762
250239.837421,3688228.439792
250239.971608,3688228.301466
250240.105135,3688228.155265
250240.237852,3688228.01355
250240.361824,3688227.857955
250240.467571,3688227.694449
250240.585962,3688227.538479
250240.705755,3688227.380619
250240.809633,3688227.216673
250240.905284,3688227.046281
250241.002729,3688226.872965
250241.109267,3688226.70731
250241.204554,3688226.534291
250241.346305362239946,3688226.534583195112646
250241.437442727154121,3688226.454547316767275
250241.509667811536929,3688226.363899223972112
250241.600519844039809,3688226.272771936841309
250241.736512557137758,3688226.124989591538906
250241.817765782907372,3688226.023010491859168
250241.889420199237065,3688225.910179576836526
250241.952046478516422,3688225.808679673355073
250242.005073950480437,3688225.696327956859022
250242.076443034515250,3688225.572405630722642
